number1,number2,number3,number4,number5,number6,bonus_no,day,date
6,11,19,21,39,49,28,Wednesday," December 29, 2010"
2,12,23,26,27,31,20,Saturday," December 25, 2010"
3,5,10,11,35,45,33,Wednesday," December 22, 2010"
5,7,13,33,37,39,44,Saturday," December 18, 2010"
1,5,8,11,29,33,36,Wednesday," December 15, 2010"
2,7,13,17,27,41,8,Saturday," December 11, 2010"
1,6,7,8,22,46,17,Wednesday," December 8, 2010"
9,12,16,24,25,38,31,Saturday," December 4, 2010"
2,11,12,29,40,42,35,Wednesday," December 1, 2010"
4,13,23,24,37,47,45,Saturday," November 27, 2010"
5,11,26,28,35,46,49,Wednesday," November 24, 2010"
1,10,13,23,41,43,39,Saturday," November 20, 2010"
3,12,14,16,29,38,23,Wednesday," November 17, 2010"
5,15,27,35,38,47,23,Saturday," November 13, 2010"
4,5,17,30,36,38,45,Wednesday," November 10, 2010"
2,20,29,33,40,44,25,Saturday," November 6, 2010"
10,11,16,19,28,40,8,Wednesday," November 3, 2010"
10,15,24,29,35,38,8,Saturday," October 30, 2010"
2,16,20,23,33,43,6,Wednesday," October 27, 2010"
2,13,21,22,40,44,37,Saturday," October 23, 2010"
9,10,14,15,19,29,35,Wednesday," October 20, 2010"
20,28,32,36,42,46,21,Saturday," October 16, 2010"
2,3,23,29,34,36,17,Wednesday," October 13, 2010"
1,8,15,36,38,49,16,Saturday," October 9, 2010"
10,20,24,32,37,47,49,Wednesday," October 6, 2010"
7,13,18,23,26,27,46,Saturday," October 2, 2010"
1,7,19,31,35,44,36,Wednesday," September 29, 2010"
7,11,15,30,31,45,23,Saturday," September 25, 2010"
13,19,29,30,33,49,5,Wednesday," September 22, 2010"
1,14,17,19,40,42,30,Saturday," September 18, 2010"
6,11,21,26,34,41,24,Wednesday," September 15, 2010"
3,9,11,13,27,45,5,Saturday," September 11, 2010"
4,6,11,45,46,47,48,Wednesday," September 8, 2010"
11,13,17,18,20,45,41,Saturday," September 4, 2010"
13,32,35,39,46,48,5,Wednesday," September 1, 2010"
1,4,7,25,30,45,6,Saturday," August 28, 2010"
5,8,20,26,31,36,15,Wednesday," August 25, 2010"
7,10,15,26,36,41,21,Saturday," August 21, 2010"
3,7,12,25,28,37,16,Wednesday," August 18, 2010"
9,20,22,23,26,44,5,Saturday," August 14, 2010"
3,10,12,20,26,27,47,Wednesday," August 11, 2010"
10,14,18,41,42,47,16,Saturday," August 7, 2010"
5,8,13,22,35,40,9,Wednesday," August 4, 2010"
1,35,38,40,47,48,29,Saturday," July 31, 2010"
2,15,27,30,34,36,31,Wednesday," July 28, 2010"
3,6,26,32,43,49,29,Saturday," July 24, 2010"
13,14,15,17,28,36,29,Wednesday," July 21, 2010"
24,26,28,37,43,48,8,Saturday," July 17, 2010"
4,17,20,31,36,40,37,Wednesday," July 14, 2010"
13,14,16,28,34,42,26,Saturday," July 10, 2010"
3,8,18,34,44,49,30,Wednesday," July 7, 2010"
9,12,19,29,38,47,18,Saturday," July 3, 2010"
4,14,24,26,34,43,1,Wednesday," June 30, 2010"
1,10,16,25,36,38,29,Saturday," June 26, 2010"
16,18,21,36,46,48,47,Wednesday," June 23, 2010"
11,18,27,29,32,39,1,Saturday," June 19, 2010"
2,5,9,20,25,32,30,Wednesday," June 16, 2010"
3,11,14,20,41,47,9,Saturday," June 12, 2010"
12,13,25,30,37,41,48,Wednesday," June 9, 2010"
30,31,32,34,36,49,9,Saturday," June 5, 2010"
15,19,30,31,34,37,7,Wednesday," June 2, 2010"
18,32,40,41,47,49,7,Saturday," May 29, 2010"
12,13,33,43,46,49,48,Wednesday," May 26, 2010"
7,8,19,23,30,46,4,Saturday," May 22, 2010"
27,28,35,40,43,48,20,Wednesday," May 19, 2010"
3,5,8,15,33,35,14,Saturday," May 15, 2010"
8,9,20,26,28,29,38,Wednesday," May 12, 2010"
4,10,21,39,45,48,12,Saturday," May 8, 2010"
12,13,15,31,47,49,28,Wednesday," May 5, 2010"
4,7,10,22,25,33,49,Saturday," May 1, 2010"
6,24,27,34,36,42,18,Wednesday," April 28, 2010"
3,10,14,36,38,40,23,Saturday," April 24, 2010"
12,19,22,36,40,46,17,Wednesday," April 21, 2010"
4,11,12,25,42,43,44,Saturday," April 17, 2010"
9,12,20,28,33,46,10,Wednesday," April 14, 2010"
7,9,23,25,27,41,15,Saturday," April 10, 2010"
3,10,13,22,34,43,46,Wednesday," April 7, 2010"
1,2,13,17,24,39,34,Saturday," April 3, 2010"
27,28,33,37,48,49,5,Wednesday," March 31, 2010"
2,4,9,22,43,44,29,Saturday," March 27, 2010"
5,19,27,32,44,46,25,Wednesday," March 24, 2010"
9,11,15,34,35,42,47,Saturday," March 20, 2010"
5,6,21,38,42,45,46,Wednesday," March 17, 2010"
3,13,15,28,41,47,40,Saturday," March 13, 2010"
8,12,28,30,38,48,2,Wednesday," March 10, 2010"
7,9,14,24,25,44,28,Saturday," March 6, 2010"
10,19,23,24,33,38,21,Wednesday," March 3, 2010"
4,6,14,23,25,36,27,Saturday," February 27, 2010"
4,13,18,21,22,42,3,Wednesday," February 24, 2010"
13,15,18,20,23,26,17,Saturday," February 20, 2010"
14,16,34,41,45,49,5,Wednesday," February 17, 2010"
1,9,23,28,37,39,12,Saturday," February 13, 2010"
13,24,30,32,37,48,49,Wednesday," February 10, 2010"
4,12,14,15,21,23,13,Saturday," February 6, 2010"
9,24,29,35,37,40,21,Wednesday," February 3, 2010"
2,31,32,34,40,49,5,Saturday," January 30, 2010"
14,17,19,21,40,42,26,Wednesday," January 27, 2010"
29,35,36,38,41,43,47,Saturday," January 23, 2010"
13,17,25,40,45,47,42,Wednesday," January 20, 2010"
12,21,25,30,41,43,48,Saturday," January 16, 2010"
26,28,30,39,40,48,27,Wednesday," January 13, 2010"
7,9,10,27,28,40,42,Saturday," January 9, 2010"
10,12,15,23,26,44,30,Wednesday," January 6, 2010"
16,22,25,33,39,48,28,Saturday," January 2, 2010"
2,11,21,28,31,44,36,Saturday," December 31, 2011"
1,22,28,38,47,48,29,Wednesday," December 28, 2011"
1,18,25,26,36,39,29,Saturday," December 24, 2011"
12,16,19,34,41,47,20,Wednesday," December 21, 2011"
3,5,24,27,38,46,42,Saturday," December 17, 2011"
13,20,22,29,32,33,16,Wednesday," December 14, 2011"
3,7,15,35,36,40,13,Saturday," December 10, 2011"
6,8,24,27,31,41,48,Wednesday," December 7, 2011"
8,24,34,38,41,42,22,Saturday," December 3, 2011"
12,15,23,36,43,47,40,Wednesday," November 30, 2011"
2,18,23,35,47,48,9,Saturday," November 26, 2011"
10,13,15,30,34,44,21,Wednesday," November 23, 2011"
3,4,14,18,28,31,47,Saturday," November 19, 2011"
15,25,28,32,35,42,45,Wednesday," November 16, 2011"
3,4,20,34,39,48,2,Saturday," November 12, 2011"
12,30,36,37,40,48,32,Wednesday," November 9, 2011"
14,18,22,34,36,43,3,Saturday," November 5, 2011"
3,22,32,40,45,48,4,Wednesday," November 2, 2011"
5,8,13,16,40,49,20,Saturday," October 29, 2011"
1,2,38,39,40,49,44,Wednesday," October 26, 2011"
8,18,20,30,32,46,22,Saturday," October 22, 2011"
9,14,17,20,44,45,33,Wednesday," October 19, 2011"
14,24,27,36,39,42,3,Saturday," October 15, 2011"
6,7,12,20,38,40,43,Wednesday," October 12, 2011"
7,13,14,16,22,48,32,Saturday," October 8, 2011"
7,10,13,19,26,29,23,Wednesday," October 5, 2011"
8,15,24,25,30,35,13,Saturday," October 1, 2011"
2,14,29,32,41,44,3,Wednesday," September 28, 2011"
3,8,15,16,20,46,35,Saturday," September 24, 2011"
1,23,30,38,45,48,3,Wednesday," September 21, 2011"
15,17,19,23,27,38,7,Saturday," September 17, 2011"
12,26,28,31,33,45,27,Wednesday," September 14, 2011"
17,18,25,31,42,49,28,Saturday," September 10, 2011"
10,15,29,32,34,40,6,Wednesday," September 7, 2011"
14,15,25,32,41,42,49,Saturday," September 3, 2011"
11,16,25,35,38,41,37,Wednesday," August 31, 2011"
11,14,19,20,21,47,45,Saturday," August 27, 2011"
12,15,18,29,33,46,48,Wednesday," August 24, 2011"
6,11,18,20,21,34,47,Saturday," August 20, 2011"
7,18,23,24,27,32,26,Wednesday," August 17, 2011"
28,35,42,45,46,49,27,Saturday," August 13, 2011"
9,18,24,27,29,43,5,Wednesday," August 10, 2011"
9,21,28,31,34,37,2,Saturday," August 6, 2011"
6,17,21,28,31,38,43,Wednesday," August 3, 2011"
6,7,10,19,21,45,16,Saturday," July 30, 2011"
2,3,15,23,41,46,10,Wednesday," July 27, 2011"
3,5,11,23,33,34,24,Saturday," July 23, 2011"
2,21,23,30,34,42,46,Wednesday," July 20, 2011"
2,12,23,35,39,49,44,Saturday," July 16, 2011"
2,8,28,29,34,44,38,Wednesday," July 13, 2011"
4,7,23,31,33,36,22,Saturday," July 9, 2011"
14,25,31,36,44,47,37,Wednesday," July 6, 2011"
2,16,30,41,44,48,21,Saturday," July 2, 2011"
3,15,23,33,39,47,41,Wednesday," June 29, 2011"
4,17,23,31,45,48,29,Saturday," June 25, 2011"
5,7,16,27,37,49,25,Wednesday," June 22, 2011"
4,9,14,21,34,45,25,Saturday," June 18, 2011"
2,4,22,25,28,31,17,Wednesday," June 15, 2011"
6,7,8,9,20,28,22,Saturday," June 11, 2011"
7,10,21,22,38,39,11,Wednesday," June 8, 2011"
19,20,27,29,33,45,41,Saturday," June 4, 2011"
18,23,27,44,46,47,29,Wednesday," June 1, 2011"
11,13,17,21,43,49,5,Saturday," May 28, 2011"
5,32,37,38,39,42,22,Wednesday," May 25, 2011"
7,8,17,22,24,30,37,Saturday," May 21, 2011"
1,39,42,45,48,49,29,Wednesday," May 18, 2011"
12,29,30,36,39,45,20,Saturday," May 14, 2011"
14,20,30,34,37,45,15,Wednesday," May 11, 2011"
2,23,24,27,36,48,16,Saturday," May 7, 2011"
8,9,26,39,46,47,38,Wednesday," May 4, 2011"
1,6,7,24,30,48,4,Saturday," April 30, 2011"
3,8,31,42,44,48,33,Wednesday," April 27, 2011"
1,8,18,27,35,45,47,Saturday," April 23, 2011"
12,15,33,34,38,43,30,Wednesday," April 20, 2011"
5,7,11,12,33,39,28,Saturday," April 16, 2011"
3,8,15,20,26,45,12,Wednesday," April 13, 2011"
17,23,24,40,45,48,18,Saturday," April 9, 2011"
1,3,23,26,35,38,11,Wednesday," April 6, 2011"
16,21,26,28,45,46,49,Saturday," April 2, 2011"
8,15,17,29,36,44,16,Wednesday," March 30, 2011"
4,6,21,22,42,43,12,Saturday," March 26, 2011"
5,10,11,21,24,43,32,Wednesday," March 23, 2011"
7,25,28,31,36,45,49,Saturday," March 19, 2011"
1,3,15,19,36,37,2,Wednesday," March 16, 2011"
6,9,17,23,26,36,42,Saturday," March 12, 2011"
4,7,18,21,41,46,37,Wednesday," March 9, 2011"
19,21,27,33,36,38,3,Saturday," March 5, 2011"
27,28,31,41,42,43,46,Wednesday," March 2, 2011"
3,16,17,31,33,46,37,Saturday," February 26, 2011"
5,6,15,24,35,48,39,Wednesday," February 23, 2011"
10,16,20,26,34,48,40,Saturday," February 19, 2011"
10,15,29,30,44,45,28,Wednesday," February 16, 2011"
3,15,22,31,43,47,42,Saturday," February 12, 2011"
17,19,21,33,34,46,47,Wednesday," February 9, 2011"
20,25,32,39,40,44,48,Saturday," February 5, 2011"
4,11,18,27,28,46,39,Wednesday," February 2, 2011"
3,4,16,35,40,44,32,Saturday," January 29, 2011"
4,6,22,24,31,40,33,Wednesday," January 26, 2011"
4,5,9,12,33,36,38,Saturday," January 22, 2011"
7,13,18,21,23,24,48,Wednesday," January 19, 2011"
10,15,35,42,44,47,39,Saturday," January 15, 2011"
4,9,15,27,28,46,18,Wednesday," January 12, 2011"
5,6,11,16,24,40,10,Saturday," January 8, 2011"
1,3,8,12,32,47,19,Wednesday," January 5, 2011"
8,15,39,44,45,49,29,Saturday," January 1, 2011"
1,26,33,36,45,48,22,Saturday," December 29, 2012"
3,5,26,27,37,39,21,Wednesday," December 26, 2012"
8,10,14,16,18,35,43,Saturday," December 22, 2012"
1,13,16,30,33,48,49,Wednesday," December 19, 2012"
11,22,36,37,43,48,7,Saturday," December 15, 2012"
6,7,24,27,28,46,44,Wednesday," December 12, 2012"
2,12,22,42,43,46,5,Saturday," December 8, 2012"
4,26,34,38,41,46,44,Wednesday," December 5, 2012"
7,22,28,32,34,38,20,Saturday," December 1, 2012"
3,6,13,29,36,38,33,Wednesday," November 28, 2012"
6,32,35,36,40,45,48,Saturday," November 24, 2012"
10,16,21,31,33,36,27,Wednesday," November 21, 2012"
3,4,20,31,41,48,15,Saturday," November 17, 2012"
15,20,29,36,38,42,27,Wednesday," November 14, 2012"
6,22,23,41,44,49,48,Saturday," November 10, 2012"
20,36,42,43,45,48,5,Wednesday," November 7, 2012"
9,22,34,35,46,47,26,Saturday," November 3, 2012"
4,8,17,23,34,47,30,Wednesday," October 31, 2012"
11,15,16,17,31,40,6,Saturday," October 27, 2012"
9,10,11,24,34,42,5,Wednesday," October 24, 2012"
13,14,21,24,32,35,18,Saturday," October 20, 2012"
4,20,22,23,42,44,41,Wednesday," October 17, 2012"
6,14,26,27,34,46,37,Saturday," October 13, 2012"
8,22,37,40,41,44,4,Wednesday," October 10, 2012"
20,24,27,40,44,45,35,Saturday," October 6, 2012"
5,15,20,25,28,33,39,Wednesday," October 3, 2012"
2,7,18,20,41,48,29,Saturday," September 29, 2012"
2,5,9,13,22,38,37,Wednesday," September 26, 2012"
4,19,22,24,32,33,21,Saturday," September 22, 2012"
7,9,18,22,28,38,26,Wednesday," September 19, 2012"
9,10,12,19,24,31,17,Saturday," September 15, 2012"
3,29,33,36,39,45,37,Wednesday," September 12, 2012"
1,4,6,24,26,29,12,Saturday," September 8, 2012"
15,21,23,26,28,48,6,Wednesday," September 5, 2012"
2,5,20,30,39,45,25,Saturday," September 1, 2012"
3,5,8,14,24,34,38,Wednesday," August 29, 2012"
4,12,17,18,34,44,21,Saturday," August 25, 2012"
9,13,19,32,41,49,17,Wednesday," August 22, 2012"
7,14,15,23,35,37,36,Saturday," August 18, 2012"
1,6,12,19,24,31,5,Wednesday," August 15, 2012"
17,20,22,35,38,48,36,Saturday," August 11, 2012"
6,8,18,20,40,42,36,Wednesday," August 8, 2012"
3,8,23,25,29,47,32,Saturday," August 4, 2012"
1,14,17,29,36,37,13,Wednesday," August 1, 2012"
6,10,22,30,35,49,17,Saturday," July 28, 2012"
1,20,27,36,40,42,14,Wednesday," July 25, 2012"
11,21,35,37,46,47,32,Saturday," July 21, 2012"
1,11,12,17,32,40,14,Wednesday," July 18, 2012"
13,17,22,29,36,45,47,Saturday," July 14, 2012"
5,8,14,18,43,49,37,Wednesday," July 11, 2012"
3,20,27,29,38,44,45,Saturday," July 7, 2012"
15,20,22,25,27,41,28,Wednesday," July 4, 2012"
12,22,31,32,35,47,4,Saturday," June 30, 2012"
4,10,19,24,32,35,1,Wednesday," June 27, 2012"
12,19,28,34,36,41,1,Saturday," June 23, 2012"
1,6,10,26,31,38,11,Wednesday," June 20, 2012"
1,8,19,26,37,44,16,Saturday," June 16, 2012"
7,11,15,22,37,44,16,Wednesday," June 13, 2012"
8,18,29,37,38,44,48,Saturday," June 9, 2012"
8,21,22,26,30,39,7,Wednesday," June 6, 2012"
7,22,27,29,33,39,40,Saturday," June 2, 2012"
2,21,36,37,45,47,15,Wednesday," May 30, 2012"
23,31,33,38,46,49,17,Saturday," May 26, 2012"
2,3,7,13,32,40,8,Wednesday," May 23, 2012"
14,17,21,27,37,46,39,Saturday," May 19, 2012"
2,3,12,15,19,49,5,Wednesday," May 16, 2012"
4,5,10,34,37,45,7,Saturday," May 12, 2012"
2,6,15,19,24,38,9,Wednesday," May 9, 2012"
5,6,30,32,45,46,41,Saturday," May 5, 2012"
18,19,33,40,44,47,10,Wednesday," May 2, 2012"
9,21,22,42,44,48,28,Saturday," April 28, 2012"
15,18,26,33,36,39,35,Wednesday," April 25, 2012"
2,8,10,20,28,38,29,Saturday," April 21, 2012"
6,10,11,16,32,36,42,Wednesday," April 18, 2012"
14,16,18,20,26,47,13,Saturday," April 14, 2012"
1,2,16,24,36,49,33,Wednesday," April 11, 2012"
2,13,16,32,39,44,27,Saturday," April 7, 2012"
18,23,25,26,45,48,16,Wednesday," April 4, 2012"
33,35,36,39,48,49,42,Saturday," March 31, 2012"
5,10,12,18,25,45,15,Wednesday," March 28, 2012"
11,20,23,28,40,45,14,Saturday," March 24, 2012"
23,27,32,37,38,45,35,Wednesday," March 21, 2012"
1,2,9,15,17,37,30,Saturday," March 17, 2012"
6,9,11,12,19,20,47,Wednesday," March 14, 2012"
4,17,25,26,39,49,10,Saturday," March 10, 2012"
5,7,39,41,45,46,25,Wednesday," March 7, 2012"
9,19,20,31,41,45,42,Saturday," March 3, 2012"
5,6,8,9,11,40,28,Wednesday," February 29, 2012"
2,22,30,33,35,42,14,Saturday," February 25, 2012"
1,12,22,35,42,44,40,Wednesday," February 22, 2012"
4,12,14,21,22,37,28,Saturday," February 18, 2012"
3,19,21,41,43,47,9,Wednesday," February 15, 2012"
6,13,19,32,43,44,9,Saturday," February 11, 2012"
7,22,23,26,40,48,39,Wednesday," February 8, 2012"
8,10,12,22,26,28,24,Saturday," February 4, 2012"
2,7,9,18,23,38,14,Wednesday," February 1, 2012"
5,6,17,39,44,48,29,Saturday," January 28, 2012"
2,12,20,35,41,49,36,Wednesday," January 25, 2012"
9,11,31,34,48,49,41,Saturday," January 21, 2012"
4,7,10,27,37,49,44,Wednesday," January 18, 2012"
1,3,7,11,38,40,37,Saturday," January 14, 2012"
9,10,11,18,39,45,23,Wednesday," January 11, 2012"
6,8,11,25,28,45,7,Saturday," January 7, 2012"
1,8,11,21,24,41,45,Wednesday," January 4, 2012"
13,20,23,34,38,46,18,Saturday," December 28, 2013"
4,18,23,32,34,47,44,Wednesday," December 25, 2013"
1,2,10,19,22,44,41,Saturday," December 21, 2013"
2,4,16,20,25,46,23,Wednesday," December 18, 2013"
13,18,19,20,35,40,14,Saturday," December 14, 2013"
4,15,28,31,37,44,35,Wednesday," December 11, 2013"
2,8,11,15,24,27,44,Saturday," December 7, 2013"
10,12,16,23,41,42,19,Wednesday," December 4, 2013"
2,18,22,25,37,39,1,Saturday," November 30, 2013"
8,9,15,23,40,48,19,Wednesday," November 27, 2013"
3,5,13,16,44,48,2,Saturday," November 23, 2013"
20,26,35,37,46,48,9,Wednesday," November 20, 2013"
9,12,17,20,21,37,31,Saturday," November 16, 2013"
3,8,15,17,29,33,10,Wednesday," November 13, 2013"
4,8,30,43,46,48,44,Saturday," November 9, 2013"
21,26,32,34,36,39,28,Wednesday," November 6, 2013"
9,12,13,26,35,43,2,Saturday," November 2, 2013"
4,9,24,41,47,48,46,Wednesday," October 30, 2013"
3,5,16,20,27,45,7,Saturday," October 26, 2013"
6,12,14,20,21,26,33,Wednesday," October 23, 2013"
3,4,6,23,33,44,31,Saturday," October 19, 2013"
3,10,17,18,19,23,38,Wednesday," October 16, 2013"
7,12,20,22,26,35,13,Saturday," October 12, 2013"
18,22,24,30,43,48,42,Wednesday," October 9, 2013"
2,12,18,26,35,36,7,Saturday," October 5, 2013"
2,10,16,36,40,45,11,Wednesday," October 2, 2013"
8,16,18,26,28,37,5,Saturday," September 28, 2013"
5,19,22,29,31,32,7,Wednesday," September 25, 2013"
7,19,21,29,31,36,42,Saturday," September 21, 2013"
13,22,23,31,35,45,33,Wednesday," September 18, 2013"
6,26,41,42,47,48,31,Saturday," September 14, 2013"
13,21,22,26,35,40,15,Wednesday," September 11, 2013"
2,4,15,29,32,40,26,Saturday," September 7, 2013"
2,7,12,21,25,47,6,Wednesday," September 4, 2013"
5,6,24,29,35,39,44,Saturday," August 31, 2013"
13,17,19,22,28,46,38,Wednesday," August 28, 2013"
2,8,32,36,47,49,33,Saturday," August 24, 2013"
4,12,28,31,39,46,42,Wednesday," August 21, 2013"
1,6,13,29,37,39,17,Saturday," August 17, 2013"
14,20,28,31,44,49,34,Wednesday," August 14, 2013"
8,23,25,32,33,48,28,Saturday," August 10, 2013"
19,21,29,32,34,47,8,Wednesday," August 7, 2013"
2,3,9,17,29,40,41,Saturday," August 3, 2013"
5,15,30,42,46,49,35,Wednesday," July 31, 2013"
3,15,17,20,27,43,30,Saturday," July 27, 2013"
2,5,12,22,44,48,10,Wednesday," July 24, 2013"
3,20,24,26,37,47,35,Saturday," July 20, 2013"
11,12,16,29,38,43,25,Wednesday," July 17, 2013"
2,11,14,22,41,42,13,Saturday," July 13, 2013"
7,8,11,19,25,46,17,Wednesday," July 10, 2013"
21,23,24,33,38,44,45,Saturday," July 6, 2013"
16,17,19,22,40,43,10,Wednesday," July 3, 2013"
4,11,12,14,25,37,36,Saturday," June 29, 2013"
1,3,23,33,40,48,42,Wednesday," June 26, 2013"
3,4,5,12,23,33,27,Saturday," June 22, 2013"
8,23,25,28,34,39,47,Wednesday," June 19, 2013"
5,8,13,14,17,30,1,Saturday," June 15, 2013"
4,8,16,25,33,36,21,Wednesday," June 12, 2013"
